date,AT,PM10,PM2.5,RH,SR,Temp,WD,WS,NO2,Ozone
01-01-2016 00:00,12.43,946.17,389.33,65.42,12.83,12.43,210.92,0.3,105.57,7.93
01-01-2016 01:00,11.43,None,376,69,12.25,11.43,216.25,0.3,89.07,11.37
01-01-2016 02:00,11.28,None,480.5,71.5,12.58,11.28,230.92,0.35,91.96,12.2
01-01-2016 03:00,11.71,918.17,486.67,71.83,12.33,11.71,203.25,0.31,79.14,13.97
01-01-2016 04:00,11.13,824,441.17,73.08,12.75,11.13,126.92,0.3,91.57,14.9
01-01-2016 05:00,11.01,824,594.83,74.75,12.58,11.01,196.42,0.3,104.95,8.22
01-01-2016 06:00,11.49,778,441.33,74.17,13.83,11.49,80.58,0.37,81.68,7.48
01-01-2016 07:00,11.63,550,360,73.17,213,11.63,96.92,0.48,90.48,8.51
01-01-2016 08:00,14.9,579.17,394.5,63.92,423.08,14.9,181.58,0.49,102.64,7.71
01-01-2016 09:00,18.45,659.17,379.5,50.17,444.08,18.45,145.33,0.85,107.58,9.67
01-01-2016 10:00,20.42,561.4,303.83,43.5,446.42,20.42,193.75,1.05,111.38,21.06
01-01-2016 11:00,22.19,493.67,237.5,39.08,448,22.19,252,0.91,129.54,21.54
01-01-2016 12:00,23.39,517.33,232.17,34.92,445.5,23.39,193.92,1.12,133.81,27.83
01-01-2016 13:00,24.8,476.67,206.67,26.67,446.58,24.8,189.92,1.1,128.39,27.74
01-01-2016 14:00,24.72,491.17,148.67,26.33,428.58,24.72,203.83,1.06,109.36,33.29
01-01-2016 15:00,24.4,389.17,140.17,22.75,416.42,24.4,266.83,0.78,131.49,21.42
01-01-2016 16:00,22.77,516.17,132,24.5,364.25,22.77,274.75,0.55,145.37,15.33
01-01-2016 17:00,19.8,755.5,166.67,39.75,73.08,19.8,134.58,0.65,167.68,9.74
01-01-2016 18:00,17.48,923,348,49.42,12.42,17.48,239.42,0.31,196.17,13.28
01-01-2016 19:00,16.32,923,480,53.58,12.67,16.32,201.33,0.34,195.54,13.77
01-01-2016 20:00,15.75,923,480,56.17,12.42,15.75,198.92,0.32,227.31,11.72
01-01-2016 21:00,14.72,923,480,59.58,12.67,14.72,252.17,0.3,249.33,9.38
01-01-2016 22:00,14.04,923,480,61.92,12.58,14.04,136.67,0.3,210.32,9.98
01-01-2016 23:00,13.53,923,480,64,12.67,13.53,97.17,0.3,166.94,13.13
02-01-2016 00:00,13.4,923,480,62.67,12.42,13.4,73.17,0.3,129.57,17.22
